period_type,period_start,year,month,quarter,sales_org,sector,region,bookings_usd,recognized_revenue_usd,gross_margin_pct,new_logos,avg_contract_value_usd,pipeline_usd,pipeline_coverage,mom_growth_pct,yoy_growth_pct,logo_churn_rate,net_revenue_retention,risk_flag,notes
Monthly,2024-01-01,2024,1,2024-Q1,Enterprise East,Government & Education,NA East,315000,242000,74.4,1,315000,1269000,4.03,,,0.025,1.111,,
Monthly,2024-01-01,2024,1,2024-Q1,Enterprise East,Healthcare,NA East,436000,355000,68.2,3,145000,1319000,3.02,,,0.0069,1.04,,
Monthly,2024-01-01,2024,1,2024-Q1,Enterprise East,Manufacturing,NA East,367000,314000,74.7,1,367000,1542000,4.21,,,0.0073,0.932,,
Monthly,2024-01-01,2024,1,2024-Q1,Enterprise East,Media & SaaS,NA East,464000,388000,68.6,4,116000,1521000,3.28,,,0.0176,1.127,,
Monthly,2024-01-01,2024,1,2024-Q1,Enterprise East,Retail & eCommerce,NA East,470000,402000,71.4,3,157000,2101000,4.47,,,0.0114,1.234,,
Monthly,2024-01-01,2024,1,2024-Q1,Enterprise West,FinTech,NA West,537000,403000,78.1,4,134000,2220000,4.13,,,0.0159,1.119,,
Monthly,2024-01-01,2024,1,2024-Q1,Enterprise West,Government & Education,NA West,422000,348000,69.4,4,106000,1808000,4.28,,,0.0033,1.186,,
Monthly,2024-01-01,2024,1,2024-Q1,Enterprise West,Healthcare,NA West,513000,460000,72.5,2,257000,2935000,5.72,,,0.0292,1.1,,
Monthly,2024-01-01,2024,1,2024-Q1,Enterprise West,Manufacturing,NA West,404000,353000,70.1,4,101000,1036000,2.56,,,0.0104,1.016,,
Monthly,2024-01-01,2024,1,2024-Q1,Enterprise West,Media & SaaS,NA West,601000,489000,68.8,5,120000,2867000,4.77,,,0.0177,1.257,,
Monthly,2024-01-01,2024,1,2024-Q1,Enterprise West,Retail & eCommerce,NA West,451000,400000,72.4,4,113000,1415000,3.14,,,0.0,1.088,,
Monthly,2024-01-01,2024,1,2024-Q1,Hardware & Appliances,FinTech,NA National,147000,120000,61.0,9,16000,315000,2.14,,,0.0237,0.923,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-01-01,2024,1,2024-Q1,Hardware & Appliances,Government & Education,NA National,106000,79000,61.1,7,15000,245000,2.31,,,0.0247,0.893,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-01-01,2024,1,2024-Q1,Hardware & Appliances,Healthcare,NA National,121000,94000,56.5,9,13000,291000,2.41,,,0.0168,0.959,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-01-01,2024,1,2024-Q1,Hardware & Appliances,Manufacturing,NA National,121000,98000,58.7,9,13000,338000,2.8,,,0.0238,0.973,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-01-01,2024,1,2024-Q1,Hardware & Appliances,Media & SaaS,NA National,128000,103000,56.7,7,18000,269000,2.11,,,0.0322,0.896,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-01-01,2024,1,2024-Q1,Hardware & Appliances,Retail & eCommerce,NA National,123000,104000,51.1,16,8000,314000,2.56,,,0.0153,0.919,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-01-01,2024,1,2024-Q1,International APAC,FinTech,APAC,224000,182000,64.8,4,56000,908000,4.06,,,0.0244,1.051,,
Monthly,2024-01-01,2024,1,2024-Q1,International APAC,Government & Education,APAC,143000,120000,74.7,9,16000,511000,3.58,,,0.0248,1.078,,
Monthly,2024-01-01,2024,1,2024-Q1,International APAC,Healthcare,APAC,194000,174000,65.1,9,22000,1002000,5.15,,,0.0199,1.138,,
Monthly,2024-01-01,2024,1,2024-Q1,International APAC,Manufacturing,APAC,202000,153000,71.7,6,34000,714000,3.54,,,0.0149,1.013,,
Monthly,2024-01-01,2024,1,2024-Q1,International APAC,Media & SaaS,APAC,206000,157000,67.3,9,23000,838000,4.06,,,0.0175,1.07,,
Monthly,2024-01-01,2024,1,2024-Q1,International APAC,Retail & eCommerce,APAC,210000,179000,69.9,7,30000,693000,3.3,,,0.0043,1.091,,
Monthly,2024-01-01,2024,1,2024-Q1,International EMEA,FinTech,EMEA,289000,254000,72.6,5,58000,965000,3.33,,,0.0063,1.128,,
Monthly,2024-01-01,2024,1,2024-Q1,International EMEA,Government & Education,EMEA,209000,171000,71.6,5,42000,767000,3.66,,,0.0,1.06,,
Monthly,2024-01-01,2024,1,2024-Q1,International EMEA,Healthcare,EMEA,228000,203000,63.8,7,33000,1025000,4.5,,,0.0047,1.124,,
Monthly,2024-01-01,2024,1,2024-Q1,International EMEA,Manufacturing,EMEA,227000,176000,71.1,6,38000,773000,3.41,,,0.0095,1.106,,
Monthly,2024-01-01,2024,1,2024-Q1,International EMEA,Media & SaaS,EMEA,281000,225000,63.3,8,35000,1025000,3.65,,,0.0312,1.094,,
Monthly,2024-01-01,2024,1,2024-Q1,International EMEA,Retail & eCommerce,EMEA,245000,209000,80.3,9,27000,824000,3.36,,,0.0099,1.084,,
Monthly,2024-01-01,2024,1,2024-Q1,Legacy On-Prem,FinTech,NA National,183000,138000,57.7,10,18000,379000,2.07,,,0.0171,0.836,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-01-01,2024,1,2024-Q1,Legacy On-Prem,Government & Education,NA National,148000,124000,60.5,8,19000,395000,2.67,,,0.0185,0.875,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-01-01,2024,1,2024-Q1,Legacy On-Prem,Healthcare,NA National,183000,132000,56.7,7,26000,388000,2.12,,,0.0255,0.822,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-01-01,2024,1,2024-Q1,Legacy On-Prem,Manufacturing,NA National,163000,134000,50.8,11,15000,319000,1.96,,,0.0257,0.969,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-01-01,2024,1,2024-Q1,Legacy On-Prem,Media & SaaS,NA National,169000,136000,61.6,13,13000,394000,2.34,,,0.0366,0.921,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-01-01,2024,1,2024-Q1,Legacy On-Prem,Retail & eCommerce,NA National,189000,146000,62.0,14,13000,455000,2.41,,,0.0256,0.971,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-01-01,2024,1,2024-Q1,Mid-Market,FinTech,NA National,278000,232000,74.4,6,46000,1241000,4.47,,,0.0144,1.167,,
Monthly,2024-01-01,2024,1,2024-Q1,Mid-Market,Government & Education,NA National,195000,154000,73.5,5,39000,835000,4.29,,,0.0115,1.042,,
Monthly,2024-01-01,2024,1,2024-Q1,Mid-Market,Healthcare,NA National,252000,212000,75.5,8,31000,1100000,4.37,,,0.024,1.094,,
Monthly,2024-01-01,2024,1,2024-Q1,Mid-Market,Manufacturing,NA National,223000,180000,73.4,7,32000,748000,3.35,,,0.0138,1.095,,
Monthly,2024-01-01,2024,1,2024-Q1,Mid-Market,Media & SaaS,NA National,269000,238000,79.8,5,54000,899000,3.34,,,0.0247,1.162,,
Monthly,2024-01-01,2024,1,2024-Q1,Mid-Market,Retail & eCommerce,NA National,227000,193000,71.3,8,28000,1178000,5.19,,,0.0167,1.147,,
Monthly,2024-01-01,2024,1,2024-Q1,Public Sector,FinTech,NA National,184000,156000,68.3,2,92000,709000,3.86,,,0.0133,1.138,,
Monthly,2024-01-01,2024,1,2024-Q1,Public Sector,Government & Education,NA National,117000,101000,73.3,2,58000,336000,2.88,,,0.0181,1.124,,
Monthly,2024-01-01,2024,1,2024-Q1,Public Sector,Healthcare,NA National,147000,121000,70.4,1,147000,585000,3.99,,,0.0,1.107,,
Monthly,2024-01-01,2024,1,2024-Q1,Public Sector,Manufacturing,NA National,153000,130000,67.0,4,38000,520000,3.4,,,0.0048,1.108,,
Monthly,2024-01-01,2024,1,2024-Q1,Public Sector,Media & SaaS,NA National,166000,125000,68.9,4,42000,708000,4.26,,,0.023,1.089,,
Monthly,2024-01-01,2024,1,2024-Q1,Public Sector,Retail & eCommerce,NA National,158000,133000,73.0,3,53000,550000,3.49,,,0.0233,1.018,,
Monthly,2024-01-01,2024,1,2024-Q1,SMB Online,FinTech,NA National,136000,102000,70.9,7,19000,495000,3.64,,,0.0125,1.086,,
Monthly,2024-01-01,2024,1,2024-Q1,SMB Online,Government & Education,NA National,102000,90000,70.9,10,10000,352000,3.46,,,0.0152,1.034,,
Monthly,2024-01-01,2024,1,2024-Q1,SMB Online,Healthcare,NA National,135000,121000,69.0,18,7000,516000,3.82,,,0.0162,1.222,,
Monthly,2024-01-01,2024,1,2024-Q1,SMB Online,Manufacturing,NA National,129000,113000,70.3,16,8000,466000,3.63,,,0.0109,1.189,,
Monthly,2024-01-01,2024,1,2024-Q1,SMB Online,Media & SaaS,NA National,102000,89000,75.7,11,9000,316000,3.1,,,0.0142,1.002,,
Monthly,2024-01-01,2024,1,2024-Q1,SMB Online,Retail & eCommerce,NA National,125000,113000,71.4,12,10000,437000,3.49,,,0.0178,1.182,,
Monthly,2024-01-01,2024,1,2024-Q1,Strategic Accounts,FinTech,NA National,802000,612000,71.1,1,802000,3965000,4.95,,,0.0167,1.026,,
Monthly,2024-01-01,2024,1,2024-Q1,Strategic Accounts,Government & Education,NA National,568000,504000,69.4,3,189000,2063000,3.63,,,0.0042,1.101,,
Monthly,2024-01-01,2024,1,2024-Q1,Strategic Accounts,Healthcare,NA National,771000,675000,74.4,4,193000,2477000,3.21,,,0.0211,1.057,,
Monthly,2024-01-01,2024,1,2024-Q1,Strategic Accounts,Manufacturing,NA National,736000,647000,77.0,1,736000,2383000,3.24,,,0.0083,1.086,,
Monthly,2024-01-01,2024,1,2024-Q1,Strategic Accounts,Media & SaaS,NA National,784000,633000,72.4,4,196000,2352000,3.0,,,0.0113,1.021,,
Monthly,2024-01-01,2024,1,2024-Q1,Strategic Accounts,Retail & eCommerce,NA National,748000,593000,75.2,3,249000,2900000,3.88,,,0.0257,1.084,,
Monthly,2024-02-01,2024,2,2024-Q1,Channel Partners,FinTech,NA National,286000,215000,76.4,6,48000,1058000,3.7,1.42,,0.013,1.139,,
Monthly,2024-02-01,2024,2,2024-Q1,Channel Partners,Government & Education,NA National,208000,159000,74.2,8,26000,638000,3.06,-0.95,,0.0217,1.0,,
Monthly,2024-02-01,2024,2,2024-Q1,Channel Partners,Healthcare,NA National,277000,230000,67.8,6,46000,1122000,4.05,2.21,,0.0163,1.114,,
Monthly,2024-02-01,2024,2,2024-Q1,Channel Partners,Manufacturing,NA National,261000,195000,81.1,13,20000,1236000,4.73,10.13,,0.0123,1.046,,
Monthly,2024-02-01,2024,2,2024-Q1,Channel Partners,Media & SaaS,NA National,276000,240000,65.9,5,55000,1227000,4.44,-0.36,,0.0224,1.171,,
Monthly,2024-02-01,2024,2,2024-Q1,Channel Partners,Retail & eCommerce,NA National,259000,194000,79.1,12,22000,1265000,4.88,17.19,,0.0112,1.056,,
Monthly,2024-02-01,2024,2,2024-Q1,Customer Expansion,FinTech,NA National,399000,348000,67.1,6,67000,1611000,4.04,6.97,,0.0011,1.112,,
Monthly,2024-02-01,2024,2,2024-Q1,Customer Expansion,Government & Education,NA National,331000,248000,73.9,16,21000,944000,2.85,6.43,,0.0167,1.068,,
Monthly,2024-02-01,2024,2,2024-Q1,Customer Expansion,Healthcare,NA National,386000,293000,81.3,12,32000,1503000,3.9,-3.5,,0.0156,1.106,,
Monthly,2024-02-01,2024,2,2024-Q1,Customer Expansion,Manufacturing,NA National,324000,256000,72.9,18,18000,1326000,4.09,-20.2,,0.0104,1.171,,
Monthly,2024-02-01,2024,2,2024-Q1,Customer Expansion,Media & SaaS,NA National,395000,345000,76.6,14,28000,1586000,4.01,-2.47,,0.0068,1.204,,
Monthly,2024-02-01,2024,2,2024-Q1,Customer Expansion,Retail & eCommerce,NA National,358000,295000,75.4,12,30000,1498000,4.18,-10.05,,0.0217,1.078,,
Monthly,2024-02-01,2024,2,2024-Q1,Enterprise East,FinTech,NA East,534000,476000,62.7,3,178000,1872000,3.5,17.88,,0.0227,1.142,,
Monthly,2024-02-01,2024,2,2024-Q1,Enterprise East,Government & Education,NA East,399000,307000,67.0,2,200000,1871000,4.69,26.67,,0.0114,1.21,,
Monthly,2024-02-01,2024,2,2024-Q1,Enterprise East,Healthcare,NA East,525000,404000,78.5,6,88000,2424000,4.61,20.41,,0.0115,0.994,,
Monthly,2024-02-01,2024,2,2024-Q1,Enterprise East,Manufacturing,NA East,495000,380000,75.9,3,165000,1926000,3.89,34.88,,0.0134,1.218,,
Monthly,2024-02-01,2024,2,2024-Q1,Enterprise East,Media & SaaS,NA East,590000,487000,66.1,5,118000,1924000,3.26,27.16,,0.0178,1.163,,
Monthly,2024-02-01,2024,2,2024-Q1,Enterprise East,Retail & eCommerce,NA East,454000,371000,70.5,3,151000,1536000,3.38,-3.4,,0.0194,1.04,,
Monthly,2024-02-01,2024,2,2024-Q1,Enterprise West,FinTech,NA West,691000,546000,60.8,4,173000,3435000,4.97,28.68,,0.0088,1.189,,
Monthly,2024-02-01,2024,2,2024-Q1,Enterprise West,Government & Education,NA West,465000,413000,69.5,5,93000,2046000,4.4,10.19,,0.0189,1.079,,
Monthly,2024-02-01,2024,2,2024-Q1,Enterprise West,Healthcare,NA West,576000,432000,80.1,2,288000,2225000,3.86,12.28,,0.0199,1.058,,
Monthly,2024-02-01,2024,2,2024-Q1,Enterprise West,Manufacturing,NA West,471000,372000,73.1,6,79000,1776000,3.77,16.58,,0.0194,1.179,,
Monthly,2024-02-01,2024,2,2024-Q1,Enterprise West,Media & SaaS,NA West,568000,444000,69.8,3,189000,1938000,3.41,-5.49,,0.0169,0.991,,
Monthly,2024-02-01,2024,2,2024-Q1,Enterprise West,Retail & eCommerce,NA West,476000,363000,73.6,3,159000,1831000,3.84,5.54,,0.0184,1.101,,
Monthly,2024-02-01,2024,2,2024-Q1,Hardware & Appliances,FinTech,NA National,127000,103000,53.4,13,10000,311000,2.45,-13.61,,0.0307,0.9,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-02-01,2024,2,2024-Q1,Hardware & Appliances,Government & Education,NA National,92000,75000,41.7,7,13000,188000,2.05,-13.21,,0.0294,0.906,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-02-01,2024,2,2024-Q1,Hardware & Appliances,Healthcare,NA National,128000,99000,62.0,5,26000,317000,2.48,5.79,,0.0266,0.829,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-02-01,2024,2,2024-Q1,Hardware & Appliances,Manufacturing,NA National,114000,80000,55.3,5,23000,209000,1.83,-5.79,,0.0146,0.92,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-02-01,2024,2,2024-Q1,Hardware & Appliances,Media & SaaS,NA National,105000,87000,49.1,8,13000,291000,2.76,-17.97,,0.036,0.965,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-02-01,2024,2,2024-Q1,Hardware & Appliances,Retail & eCommerce,NA National,124000,99000,50.9,7,18000,205000,1.65,0.81,,0.0361,0.778,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-02-01,2024,2,2024-Q1,International APAC,FinTech,APAC,229000,170000,67.8,6,38000,1084000,4.74,2.23,,0.0219,1.089,,
Monthly,2024-02-01,2024,2,2024-Q1,International APAC,Government & Education,APAC,158000,133000,70.1,9,18000,527000,3.34,10.49,,0.0066,1.134,,
Monthly,2024-02-01,2024,2,2024-Q1,International APAC,Healthcare,APAC,203000,154000,74.6,9,23000,912000,4.5,4.64,,0.0152,0.935,,
Monthly,2024-02-01,2024,2,2024-Q1,International APAC,Manufacturing,APAC,190000,166000,79.7,4,47000,455000,2.39,-5.94,,0.0135,0.872,,
Monthly,2024-02-01,2024,2,2024-Q1,International APAC,Media & SaaS,APAC,225000,168000,72.3,13,17000,978000,4.34,9.22,,0.006,1.09,,
Monthly,2024-02-01,2024,2,2024-Q1,International APAC,Retail & eCommerce,APAC,221000,195000,61.7,7,32000,869000,3.93,5.24,,0.0095,1.069,,
Monthly,2024-02-01,2024,2,2024-Q1,International EMEA,FinTech,EMEA,284000,222000,74.3,4,71000,1151000,4.06,-1.73,,0.0078,1.049,,
Monthly,2024-02-01,2024,2,2024-Q1,International EMEA,Government & Education,EMEA,217000,170000,75.8,5,43000,792000,3.66,3.83,,0.02,1.172,,
Monthly,2024-02-01,2024,2,2024-Q1,International EMEA,Healthcare,EMEA,349000,261000,74.8,7,50000,1223000,3.51,53.07,,0.0173,1.059,,
Monthly,2024-02-01,2024,2,2024-Q1,International EMEA,Manufacturing,EMEA,284000,236000,80.8,7,41000,1030000,3.63,25.11,,0.0124,1.17,,
Monthly,2024-02-01,2024,2,2024-Q1,International EMEA,Media & SaaS,EMEA,301000,223000,69.4,6,50000,1154000,3.84,7.12,,0.0052,1.143,,
Monthly,2024-02-01,2024,2,2024-Q1,International EMEA,Retail & eCommerce,EMEA,282000,216000,77.4,10,28000,1091000,3.87,15.1,,0.0276,1.142,,
Monthly,2024-02-01,2024,2,2024-Q1,Legacy On-Prem,FinTech,NA National,192000,147000,44.1,14,14000,440000,2.29,4.92,,0.0298,0.92,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-02-01,2024,2,2024-Q1,Legacy On-Prem,Government & Education,NA National,144000,105000,43.0,8,18000,402000,2.8,-2.7,,0.0212,0.733,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-02-01,2024,2,2024-Q1,Legacy On-Prem,Healthcare,NA National,169000,125000,51.1,7,24000,508000,3.0,-7.65,,0.0253,0.912,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-02-01,2024,2,2024-Q1,Legacy On-Prem,Manufacturing,NA National,137000,102000,51.5,13,11000,310000,2.26,-15.95,,0.0314,0.908,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-02-01,2024,2,2024-Q1,Legacy On-Prem,Media & SaaS,NA National,189000,153000,55.8,8,24000,452000,2.39,11.83,,0.0186,0.852,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-02-01,2024,2,2024-Q1,Legacy On-Prem,Retail & eCommerce,NA National,166000,133000,48.9,7,24000,397000,2.39,-12.17,,0.022,0.931,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-02-01,2024,2,2024-Q1,Mid-Market,FinTech,NA National,306000,248000,61.8,6,51000,996000,3.25,10.07,,0.0133,1.136,,
Monthly,2024-02-01,2024,2,2024-Q1,Mid-Market,Government & Education,NA National,216000,160000,71.9,3,72000,737000,3.42,10.77,,0.0137,1.078,,
Monthly,2024-02-01,2024,2,2024-Q1,Mid-Market,Healthcare,NA National,294000,225000,69.7,4,73000,1157000,3.94,16.67,,0.0097,1.153,,
Monthly,2024-02-01,2024,2,2024-Q1,Mid-Market,Manufacturing,NA National,279000,216000,69.8,11,25000,1144000,4.1,25.11,,0.0256,1.066,,
Monthly,2024-02-01,2024,2,2024-Q1,Mid-Market,Media & SaaS,NA National,294000,243000,71.7,10,29000,1129000,3.84,9.29,,0.0195,1.108,,
Monthly,2024-02-01,2024,2,2024-Q1,Mid-Market,Retail & eCommerce,NA National,281000,211000,62.0,4,70000,1237000,4.4,23.79,,0.0073,1.102,,
Monthly,2024-02-01,2024,2,2024-Q1,Public Sector,FinTech,NA National,195000,174000,73.5,6,32000,903000,4.64,5.98,,0.0009,1.004,,
Monthly,2024-02-01,2024,2,2024-Q1,Public Sector,Government & Education,NA National,154000,136000,65.9,4,39000,616000,3.99,31.62,,0.0054,1.101,,
Monthly,2024-02-01,2024,2,2024-Q1,Public Sector,Healthcare,NA National,203000,172000,71.7,6,34000,660000,3.25,38.1,,0.0208,1.135,,
Monthly,2024-02-01,2024,2,2024-Q1,Public Sector,Manufacturing,NA National,174000,131000,68.4,5,35000,598000,3.44,13.73,,0.0066,1.155,,
Monthly,2024-02-01,2024,2,2024-Q1,Public Sector,Media & SaaS,NA National,173000,140000,76.7,7,25000,902000,5.22,4.22,,0.0166,0.987,,
Monthly,2024-02-01,2024,2,2024-Q1,Public Sector,Retail & eCommerce,NA National,159000,120000,80.8,3,53000,441000,2.77,0.63,,0.0161,1.112,,
Monthly,2024-02-01,2024,2,2024-Q1,SMB Online,FinTech,NA National,142000,106000,78.0,13,11000,570000,4.0,4.41,,0.0192,0.981,,
Monthly,2024-02-01,2024,2,2024-Q1,SMB Online,Government & Education,NA National,122000,105000,77.3,11,11000,461000,3.76,19.61,,0.0125,1.094,,
Monthly,2024-02-01,2024,2,2024-Q1,SMB Online,Healthcare,NA National,140000,107000,67.4,15,9000,505000,3.61,3.7,,0.0173,1.043,,
Monthly,2024-02-01,2024,2,2024-Q1,SMB Online,Manufacturing,NA National,127000,101000,69.3,14,9000,516000,4.06,-1.55,,0.0148,1.066,,
Monthly,2024-02-01,2024,2,2024-Q1,SMB Online,Media & SaaS,NA National,130000,98000,75.9,10,13000,554000,4.25,27.45,,0.0046,1.12,,
Monthly,2024-02-01,2024,2,2024-Q1,SMB Online,Retail & eCommerce,NA National,145000,113000,63.3,8,18000,594000,4.1,16.0,,0.0097,1.148,,
Monthly,2024-02-01,2024,2,2024-Q1,Strategic Accounts,FinTech,NA National,730000,581000,76.8,5,146000,2384000,3.26,-8.98,,0.0058,1.11,,
Monthly,2024-02-01,2024,2,2024-Q1,Strategic Accounts,Government & Education,NA National,602000,529000,72.1,2,301000,2819000,4.68,5.99,,0.0281,1.14,,
Monthly,2024-02-01,2024,2,2024-Q1,Strategic Accounts,Healthcare,NA National,770000,672000,74.1,2,385000,3249000,4.22,-0.13,,0.0146,1.22,,
Monthly,2024-02-01,2024,2,2024-Q1,Strategic Accounts,Manufacturing,NA National,722000,567000,69.8,2,361000,3011000,4.17,-1.9,,0.015,1.159,,
Monthly,2024-02-01,2024,2,2024-Q1,Strategic Accounts,Media & SaaS,NA National,723000,554000,72.2,4,181000,3189000,4.41,-7.78,,0.0127,1.064,,
Monthly,2024-02-01,2024,2,2024-Q1,Strategic Accounts,Retail & eCommerce,NA National,685000,508000,73.2,2,342000,2983000,4.36,-8.42,,0.0154,1.04,,
Monthly,2024-03-01,2024,3,2024-Q1,Channel Partners,FinTech,NA National,351000,272000,63.9,8,44000,1450000,4.13,22.73,,0.0245,1.211,,
Monthly,2024-03-01,2024,3,2024-Q1,Channel Partners,Government & Education,NA National,245000,183000,71.3,11,22000,870000,3.56,17.79,,0.0112,1.122,,
Monthly,2024-03-01,2024,3,2024-Q1,Channel Partners,Healthcare,NA National,278000,215000,75.8,3,93000,1075000,3.87,0.36,,0.0267,1.048,,
Monthly,2024-03-01,2024,3,2024-Q1,Channel Partners,Manufacturing,NA National,282000,229000,76.2,10,28000,1069000,3.79,8.05,,0.0251,1.171,,
Monthly,2024-03-01,2024,3,2024-Q1,Channel Partners,Media & SaaS,NA National,318000,276000,75.1,5,64000,1495000,4.7,15.22,,0.0096,1.052,,
Monthly,2024-03-01,2024,3,2024-Q1,Channel Partners,Retail & eCommerce,NA National,297000,242000,67.4,5,59000,967000,3.25,14.67,,0.0242,0.973,,
Monthly,2024-03-01,2024,3,2024-Q1,Customer Expansion,FinTech,NA National,587000,479000,74.2,14,42000,2501000,4.26,47.12,,0.0159,1.078,,
Monthly,2024-03-01,2024,3,2024-Q1,Customer Expansion,Government & Education,NA National,411000,352000,70.9,5,82000,1399000,3.4,24.17,,0.0,1.083,,
Monthly,2024-03-01,2024,3,2024-Q1,Customer Expansion,Healthcare,NA National,490000,431000,62.4,17,29000,2055000,4.19,26.94,,0.006,1.049,,
Monthly,2024-03-01,2024,3,2024-Q1,Customer Expansion,Manufacturing,NA National,437000,332000,70.6,10,44000,1783000,4.08,34.88,,0.0125,1.07,,
Monthly,2024-03-01,2024,3,2024-Q1,Customer Expansion,Media & SaaS,NA National,475000,390000,68.2,10,47000,1805000,3.8,20.25,,0.0116,1.16,,
Monthly,2024-03-01,2024,3,2024-Q1,Customer Expansion,Retail & eCommerce,NA National,452000,335000,73.4,9,50000,2096000,4.64,26.26,,0.0061,1.129,,
Monthly,2024-03-01,2024,3,2024-Q1,Enterprise East,FinTech,NA East,544000,428000,72.5,4,136000,2760000,5.07,1.87,,0.0343,0.983,,
Monthly,2024-03-01,2024,3,2024-Q1,Enterprise East,Government & Education,NA East,400000,333000,81.2,6,67000,1763000,4.41,0.25,,0.0112,1.042,,
Monthly,2024-03-01,2024,3,2024-Q1,Enterprise East,Healthcare,NA East,467000,407000,70.7,6,78000,1515000,3.24,-11.05,,0.0263,1.231,,
Monthly,2024-03-01,2024,3,2024-Q1,Enterprise East,Manufacturing,NA East,466000,383000,64.4,5,93000,1471000,3.16,-5.86,,0.0122,1.174,,
Monthly,2024-03-01,2024,3,2024-Q1,Enterprise East,Media & SaaS,NA East,499000,406000,63.0,6,83000,2382000,4.78,-15.42,,0.0162,1.079,,
Monthly,2024-03-01,2024,3,2024-Q1,Enterprise East,Retail & eCommerce,NA East,442000,387000,72.5,7,63000,1314000,2.98,-2.64,,0.007,1.101,,
Monthly,2024-03-01,2024,3,2024-Q1,Enterprise West,FinTech,NA West,651000,505000,77.0,2,325000,2669000,4.1,-5.79,,0.0143,1.149,,
